Gliese 581 c,0.0173,,12.914,0.0721,,radial vel.,2007,20.5,0.31,,,https://en.wikipedia.org/wiki/Gliese_581_c
Gliese 581 e,0.0053,,3.149,0.02815,,radial vel.,2009,20.5,0.31,,,https://en.wikipedia.org/wiki/Gliese_581_e
Gliese 649 b,0.328,,598.3,1.135,,radial vel.,2009,33.7,0.54,3700,,https://en.wikipedia.org/wiki/Gliese_649_b
Gliese 674 b,0.035,,4.6938,0.039,,radial vel.,2007,14.8,0.35,3600,,https://en.wikipedia.org/wiki/Gliese_674_b
Gliese 832 b,0.68,,3657,3.56,,radial vel.,2008,16.1,0.45,3472,,https://en.wikipedia.org/wiki/Gliese_832_b
Gliese 849 b,0.91,,1845,2.32,,radial vel.,2006,28.6,0.49,,,https://en.wikipedia.org/wiki/Gliese_849_b
Gliese 876 c,0.7142,,30.0881,0.12959,,radial vel.,2000,15,0.33,,,https://en.wikipedia.org/wiki/Gliese_876_c
Gliese 876 d,0.021,,1.93778,0.020807,,radial vel.,2005,15,0.33,,,https://en.wikipedia.org/wiki/Gliese_876_d
Gliese 1214 b,0.0197,0.254,1.58040456,0.01411,,transit,2009,42 ± 3,0.16,3170,"The most likely known candidate for being an ocean planet.[4] Nicknamed ""water world"".",https://en.wikipedia.org/wiki/Gliese_1214_b
Gliese 3021 b,3.37,,133.71,0.49,,radial vel.,2000,57.5,0.9,5540,,https://en.wikipedia.org/wiki/Gliese_3021_b
GQ Lupi b,20,3,,100,,imaging,2004,450,0.7,,,https://en.wikipedia.org/wiki/GQ_Lupi_b
HAT-P-1b,0.525,1.319,4.46529976,0.05561,1322,transit,2006,450,1.15,5980,,https://en.wikipedia.org/wiki/HAT-P-1b
HAT-P-2b,9.09,1.157,5.6334729,0.06878,,transit,2007,441.4,1.36,6290,,https://en.wikipedia.org/wiki/HAT-P-2b
HAT-P-3b,0.591,0.827,2.899736,0.03866,,transit,2007,450,0.92,5185,,https://en.wikipedia.org/wiki/HAT-P-3b
HAT-P-4b,0.671,1.274,3.056536,0.04438,,transit,2007,1020,1.26,5860,,https://en.wikipedia.org/wiki/HAT-P-4b
HAT-P-5b,1.06,1.26,2.788491,0.04075,,transit,2007,1100,1.16,5960,,https://en.wikipedia.org/wiki/HAT-P-5b
HAT-P-6b,1.057,1.33,3.852985,0.05235,,transit,2007,850,1.29,6570,,https://en.wikipedia.org/wiki/HAT-P-6b
HAT-P-7b,1.682,1.491,2.2047372,0.03676,2121,transit,2008,1000,1.47,6441,,https://en.wikipedia.org/wiki/HAT-P-7b
HAT-P-8b,1.52,1.5,3.0763776,0.0487,,transit,2008,750,1.28,6200,,https://en.wikipedia.org/wiki/HAT-P-8b
HAT-P-9b,0.78,1.4,3.92289,0.053,,transit,2008,1600,1.28,6350,,https://en.wikipedia.org/wiki/HAT-P-9b
HAT-P-11b,0.081,0.422,4.8878162,0.053,750,transit,2008,120,0.81,4780,,https://en.wikipedia.org/wiki/HAT-P-11b
HAT-P-12b,0.211,0.959,3.2130598,0.0384,,transit,2009,465,0.73,4650,,https://en.wikipedia.org/wiki/HAT-P-12b
HAT-P-13b,0.851,1.272,2.91625,,,transit,2009,700,1.22,5653,,https://en.wikipedia.org/wiki/HAT-P-13b
HAT-P-13c,14.28,,446.27,,,radial vel.,2009,700,1.22,5653,,https://en.wikipedia.org/wiki/HAT-P-13c
HD 142 b,1.25,,349.7,1.02,,radial vel.,2001,83.6,1.23,6245,,https://en.wikipedia.org/wiki/HD_142_b
HD 2039 b,6.11,,1120,2.23,,radial vel.,2002,293.1,1.17,5941,,https://en.wikipedia.org/wiki/HD_2039_b
HD 2638 b,0.48,,3.4442,0.044,,radial vel.,2005,175.2,0.93,5192,,https://en.wikipedia.org/wiki/HD_2638_b
HD 4113 b,1.56,,526.62,1.28,,radial vel.,2007,143.7,0.99,5688,,https://en.wikipedia.org/wiki/HD_4113_b
HD 4203 b,1.82,,437.05,1.1735,,radial vel.,2001,253.8,1.13,5702,,https://en.wikipedia.org/wiki/HD_4203_b
HD 4208 b,0.804,,828,1.65,,radial vel.,2001,107,0.87,5600,,https://en.wikipedia.org/wiki/HD_4208_b
HD 4308 b,0.0442,,15.56,0.115,,radial vel.,2005,71.3,0.83,5685,,https://en.wikipedia.org/wiki/HD_4308_b
HD 4313 b,2.3,,356,1.19,,radial vel.,2009,428.6,1.72,5035,,https://en.wikipedia.org/wiki/HD_4313_b
HD 5319 b,1.76,,641,1.6697,,radial vel.,2007,370,1.51,4958,,https://en.wikipedia.org/wiki/HD_5319_b
HD 6434 b,0.44,,22.017,0.148,,radial vel.,2003,131.5,0.89,5690,,https://en.wikipedia.org/wiki/HD_6434_b
HD 6718 b,1.56,,2496,3.56,,radial vel.,2009,179,0.96,5746,,https://en.wikipedia.org/wiki/HD_6718_b
HD 7924 b,0.02731,,5.39792,0.05664,826,radial vel.,2008,54.9,0.83,5075,,https://en.wikipedia.org/wiki/HD_7924_b
HD 8574 b,1.8,,227,0.757,,radial vel.,2002,144,1.12,6050,,https://en.wikipedia.org/wiki/HD_8574_b
HD 8673 b,14.2,,1634,3.02,,radial vel.,2009,124.8,,,,https://en.wikipedia.org/wiki/HD_8673_b
HD 9446 b,0.7,,30.052,0.189,,radial vel.,2009,172.4,1,5793,,https://en.wikipedia.org/wiki/HD_9446_b
HD 9446 c,1.82,,192.9,0.654,,radial vel.,2009,172.4,1,5793,,https://en.wikipedia.org/wiki/HD_9446_c
HD 10647 b,0.94,,989.2,2.015,,radial vel.,2006,56.6,1.11,6218,,https://en.wikipedia.org/wiki/HD_10647_b
HD 11506 b,4.21,,1627.5,2.708,,radial vel.,2007,169,1.24,6055,,https://en.wikipedia.org/wiki/HD_11506_b
HD 11506 c,0.36,,223.6,0.721,,radial vel.,2008,169,1.24,6055,,https://en.wikipedia.org/wiki/HD_11506_c
HD 11964 b,0.622,,1945,3.16,,radial vel.,2005,110.8,1.12,5349,,https://en.wikipedia.org/wiki/HD_11964_b
HD 11964 c,0.0788,,37.91,0.229,,radial vel.,2008,110.8,1.12,5349,,https://en.wikipedia.org/wiki/HD_11964_c
HD 12661 b,2.176,,262.709,0.8079,,radial vel.,2000,121.2,1.02,5748,,https://en.wikipedia.org/wiki/HD_12661_b
HD 12661 c,1.812,,1708,2.8145,,radial vel.,2002,121.2,1.02,5748,,https://en.wikipedia.org/wiki/HD_12661_c
